hsa	Homo sapiens (human)
cot	Candida orthopsilosis
cdu	Candida dubliniensis
cten	Candida tenuis
yli	Yarrowia lipolytica
clu	Clavispora lusitaniae
ncr	Neurospora crassa
nte	Neurospora tetrasperma
smp	Sordaria macrospora
pan	Podospora anserina
ttt	Thielavia terrestris
mtm	Myceliophthora thermophila
cthr	Chaetomium thermophilum
mgr	Magnaporthe oryzae
tmn	Phaeoacremonium minimum
fgr	Fusarium graminearum
fpu	Fusarium pseudograminearum
nhe	Nectria haematococca
tre	Trichoderma reesei
maw	Metarhizium acridum
maj	Metarhizium robertsii
cmt	Cordyceps militaris
val	Verticillium alfalfae
vda	Verticillium dahliae
ela	Eutypa lata
ssl	Sclerotinia sclerotiorum
bfu	Botrytis cinerea
mbe	Marssonina brunnea
ani	Aspergillus nidulans
afm	Aspergillus fumigatus
aor	Aspergillus oryzae
ang	Aspergillus niger
afv	Aspergillus flavus
act	Aspergillus clavatus
nfi	Neosartorya fischeri
pcs	Penicillium rubens
cim	Coccidioides immitis
cpw	Coccidioides posadasii
pbl	Paracoccidioides lutzii Pb01
pbn	Paracoccidioides brasiliensis Pb18
ure	Uncinocarpus reesii
abe	Arthroderma benhamiae
tve	Trichophyton verrucosum
aje	Ajellomyces capsulatus
pno	Phaeosphaeria nodorum
pte	Pyrenophora teres
bze	Bipolaris zeicola
bsc	Bipolaris sorokiniana
bor	Bipolaris oryzae
ztr	Zymoseptoria tritici
pfj	Pseudocercospora fijiensis
bcom	Baudoinia panamericana
npa	Neofusicoccum parvum
tml	Tuber melanosporum
spo	Schizosaccharomyces pombe (fission yeast)
cne	Cryptococcus neoformans JEC21
cnb	Cryptococcus neoformans B-3501A
cgi	Cryptococcus gattii
tms	Tremella mesenterica
ppl	Postia placenta
dsq	Dichomitus squalens
pco	Phanerochaete carnosa
shs	Stereum hirsutum
hir	Heterobasidion irregulare
psq	Punctularia strigosozonata
adl	Auricularia subglabra
fme	Fomitiporia mediterranea
gtr	Gloeophyllum trabeum
lbc	Laccaria bicolor
mpr	Moniliophthora perniciosa
mrr	Moniliophthora roreri
cci	Coprinopsis cinerea
scm	Schizophyllum commune
abp	Agaricus bisporus var. burnettii JB137-S8
abv	Agaricus bisporus var. bisporus H97
cput	Coniophora puteana
sla	Serpula lacrymans
wse	Wallemia sebi
wic	Wallemia ichthyophaga
uma	Ustilago maydis
pfp	Pseudozyma flocculosa
mgl	Malassezia globosa
pgr	Puccinia graminis
mlr	Melampsora larici-populina
ecu	Encephalitozoon cuniculi
ein	Encephalitozoon intestinalis
ehe	Encephalitozoon hellem
ero	Encephalitozoon romaleae
nce	Nosema ceranae
mbr	Monosiga brevicollis
sre	Salpingoeca rosetta
ddi	Dictyostelium discoideum (cellular slime mold)
dpp	Dictyostelium purpureum (cellular slime mold)
dfa	Dictyostelium fasciculatum (cellular slime mold)
ehi	Entamoeba histolytica
edi	Entamoeba dispar
eiv	Entamoeba invadens
acan	Acanthamoeba castellanii
pfa	Plasmodium falciparum 3D7
pfd	Plasmodium falciparum Dd2
pfh	Plasmodium falciparum HB3
pyo	Plasmodium yoelii
pcb	Plasmodium chabaudi
pbe	Plasmodium berghei
pkn	Plasmodium knowlesi
pvx	Plasmodium vivax
pcy	Plasmodium cynomolgi
tan	Theileria annulata
tpv	Theileria parva
tot	Theileria orientalis
beq	Theileria equi
bbo	Babesia bovis
cpv	Cryptosporidium parvum
cho	Cryptosporidium hominis
tgo	Toxoplasma gondii
tet	Tetrahymena thermophila
ptm	Paramecium tetraurelia
pti	Phaeodactylum tricornutum
tps	Thalassiosira pseudonana
aaf	Aureococcus anophagefferens
ngd	Nannochloropsis gaditana
pif	Phytophthora infestans
psoj	Phytophthora sojae
spar	Saprolegnia parasitica
ehx	Emiliania huxleyi
gtt	Guillardia theta
tbr	Trypanosoma brucei
tcr	Trypanosoma cruzi
lma	Leishmania major
lif	Leishmania infantum
ldo	Leishmania donovani
lmi	Leishmania mexicana
lbz	Leishmania braziliensis
ngr	Naegleria gruberi
tva	Trichomonas vaginalis
gla	Giardia lamblia
eco	Escherichia coli K-12 MG1655
ecj	Escherichia coli K-12 W3110
ecd	Escherichia coli K-12 DH10B
ebw	Escherichia coli BW2952
ecok	Escherichia coli K-12 MDS42
ece	Escherichia coli O157:H7 EDL933 (EHEC)
ecs	Escherichia coli O157:H7 Sakai (EHEC)
ecf	Escherichia coli O157:H7 EC4115 (EHEC)
etw	Escherichia coli O157:H7 TW14359 (EHEC)
elx	Escherichia coli O157:H7 Xuzhou21 (EHEC)
eoj	Escherichia coli O26:H11 11368 (EHEC)
eoi	Escherichia coli O111:H- 11128 (EHEC)
eoh	Escherichia coli O103:H2 12009 (EHEC)
ecg	Escherichia coli O127:H6 E2348/69 (EPEC)
eok	Escherichia coli O55:H7 CB9615 (EPEC)
elr	Escherichia coli O55:H7 RM12579 (EPEC)
ecc	Escherichia coli O6:K2:H1 CFT073 (UPEC)
ecp	Escherichia coli O6:K15:H31 536 (UPEC)
eci	Escherichia coli O18:K1:H7 UTI89 (UPEC)
ecv	Escherichia coli APEC O1 (APEC)
ecx	Escherichia coli O9 HS (commensal)
ecw	Escherichia coli E24377A (ETEC)
ecm	Escherichia coli SMS-3-5 (environmental)
ecy	Escherichia coli O152:H28 SE11 (commensal)
ecr	Escherichia coli O8 IAI1 (commensal)
ecq	Escherichia coli O81 ED1a (commensal)
eck	Escherichia coli 55989 (EAEC)
ect	Escherichia coli O7:K1 IAI39 (ExPEC)
eoc	Escherichia coli O7:K1 CE10
eum	Escherichia coli O17:K52:H18 UMN026 (ExPEC)
ecz	Escherichia coli O45:K1:H7 S88 (ExPEC)
elo	Escherichia coli O44:H18 042 (EAEC)
eln	Escherichia coli O83:H1 NRG 857C
elh	Escherichia coli O78:H11:K80 H10407 (ETEC)
ese	Escherichia coli O150:H5 SE15 (commensal)
eso	Escherichia coli O104:H4 2009EL-2071
esm	Escherichia coli O104:H4 2009EL-2050
esl	Escherichia coli O104:H4 2011C-3493
ecl	Escherichia coli ATCC 8739
ebr	Escherichia coli B REL606
ebd	Escherichia coli BL21-Gold(DE3)pLysS AG
eko	Escherichia coli KO11FL
ekf	Escherichia coli KO11FL
eab	Escherichia coli ABU 83972
edh	Escherichia coli DH1
edj	Escherichia coli DH1
eih	Escherichia coli IHE3034
ena	Escherichia coli NA114 (UPEC)
elu	Escherichia coli UM146
eun	Escherichia coli UMNK88
elw	Escherichia coli W
ell	Escherichia coli W
elc	Escherichia coli clone D i14
eld	Escherichia coli clone D i2
elp	Escherichia coli P12b
ebl	Escherichia coli BL21(DE3)
ebe	Escherichia coli BL21(DE3)
elf	Escherichia coli LF82
ecoa	Escherichia coli APEC O78
ecol	Escherichia coli LY180
ecoi	Escherichia coli PMV-1
ecoj	Escherichia coli JJ1886
ecoo	Escherichia coli O145:H28 RM13514 (EHEC)
ecoh	Escherichia coli O145:H28 RM13516 (EHEC)
efe	Escherichia fergusonii
eal	Escherichia albertii
sty	Salmonella enterica subsp. enterica serovar Typhi CT18
stt	Salmonella enterica subsp. enterica serovar Typhi Ty2
sex	Salmonella enterica subsp. enterica serovar Typhi P-stx-12
sent	Salmonella enterica subsp. enterica serovar Typhi Ty21a
stm	Salmonella enterica subsp. enterica serovar Typhimurium LT2
seo	Salmonella enterica subsp. enterica serovar Typhimurium 14028S
sev	Salmonella enterica subsp. enterica serovar Typhimurium D23580
sey	Salmonella enterica subsp. enterica serovar Typhimurium SL1344
sem	Salmonella enterica subsp. enterica serovar Typhimurium T000240
sej	Salmonella enterica subsp. enterica serovar Typhimurium UK-1
seb	Salmonella enterica subsp. enterica serovar Typhimurium ST4/74
sef	Salmonella enterica subsp. enterica serovar Typhimurium 798
setu	Salmonella enterica subsp. enterica serovar Typhimurium U288
setc	Salmonella enterica subsp. enterica serovar Typhimurium var. 5- CFSAN001921
seen	Salmonella enterica subsp. enterica serovar Typhimurium 08-1736
senr	Salmonella enterica subsp. enterica serovar Typhimurium DT2
send	Salmonella enterica subsp. enterica serovar Typhimurium DT104
seni	Salmonella enterica subsp. enterica serovar Typhimurium 138736
spt	Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150
sek	Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601
spq	Salmonella enterica subsp. enterica serovar Paratyphi B
sei	Salmonella enterica subsp. enterica serovar Paratyphi C
sec	Salmonella enterica subsp. enterica serovar Choleraesuis
seh	Salmonella enterica subsp. enterica serovar Heidelberg SL476
shb	Salmonella enterica subsp. enterica serovar Heidelberg B182
senh	Salmonella enterica subsp. enterica Serovar Heidelberg CFSAN002069
seeh	Salmonella enterica subsp. enterica serovar Heidelberg 41578
see	Salmonella enterica subsp. enterica serovar Newport SL254
senn	Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1
sew	Salmonella enterica subsp. enterica serovar Schwarzengrund
sea	Salmonella enterica subsp. enterica serovar Agona SL483
sens	Salmonella enterica subsp. enterica serovar Agona 24249
sed	Salmonella enterica subsp. enterica serovar Dublin
seg	Salmonella enterica subsp. enterica serovar Gallinarum 287/91
sel	Salmonella enterica subsp. enterica serovar Gallinarum/pullorum RKS5078
sega	Salmonella enterica subsp. enterica serovar Gallinarum/pullorum CDC1983-67
set	Salmonella enterica subsp. enterica serovar Enteritidis P125109
sena	Salmonella enterica subsp. enterica serovar Enteritidis EC20090135
seno	Salmonella enterica subsp. enterica serovar Enteritidis EC20090193
senv	Salmonella enterica subsp. enterica serovar Enteritidis EC20090332
senq	Salmonella enterica subsp. enterica serovar Enteritidis EC20090531
senl	Salmonella enterica subsp. enterica serovar Enteritidis OLF-SE1-1019-1
senj	Salmonella enterica subsp. enterica serovar Javiana
seec	Salmonella enterica subsp. enterica Serovar Cubana
seeb	Salmonella enterica subsp. enterica serovar Bareilly
seep	Salmonella enterica subsp. enterica serovar Pullorum
senb	Salmonella enterica subsp. enterica serovar Bovismorbificans
sene	Salmonella enterica subsp. enterica serovar Thompson
senc	Salmonella enterica subsp. enterica serovar Tennessee
ses	Salmonella enterica subsp. arizonae
sbg	Salmonella bongori NCTC 12419
sbz	Salmonella bongori N268-08
sbv	Salmonella bongori serovar 48:z41:--
ype	Yersinia pestis CO92 (biovar Orientalis)
ypk	Yersinia pestis KIM10+ (biovar Mediaevalis)
ypa	Yersinia pestis Antiqua (biovar Antiqua)
ypn	Yersinia pestis Nepal516 (biovar Antiqua)
ypm	Yersinia pestis 91001 (biovar Microtus)
ypp	Yersinia pestis Pestoides F
ypg	Yersinia pestis Angola
ypz	Yersinia pestis Z176003
ypt	Yersinia pestis A1122
ypd	Yersinia pestis D106004
ypx	Yersinia pestis D182038
yph	Yersinia pestis biovar Medievalis Harbin 35
ypw	Yersinia pestis PBM19
ypj	Yersinia pestis Harbin35
ypv	Yersinia pestis Shasta
ypl	Yersinia pestis El Dorado
yps	Yersinia pseudotuberculosis IP32953 (serotype I)
ypo	Yersinia pseudotuberculosis IP 32953 (serotype 1)
ypi	Yersinia pseudotuberculosis IP31758 (serotype O:1b)
ypy	Yersinia pseudotuberculosis YPIII
ypb	Yersinia pseudotuberculosis PB1/+
ypq	Yersinia pseudotuberculosis ATCC 6904
ypu	Yersinia pseudotuberculosis MD67
ypr	Yersinia pseudotuberculosis EP2/+
ypc	Yersinia pseudotuberculosis 1
ypf	Yersinia pseudotuberculosis PA3606
yen	Yersinia enterocolitica subsp. enterocolitica 8081
yep	Yersinia enterocolitica subsp. palearctica 105.5R(r)
yey	Yersinia enterocolitica subsp. palearctica Y11
yel	Yersinia enterocolitica LC20
yew	Yersinia enterocolitica WA
yet	Yersinia enterocolitica 2516-87
yef	Yersinia enterocolitica FORC_002
yee	Yersinia enterocolitica (type O:5) YE53/03
ysi	Yersinia similis
yal	Yersinia aldovae
yfr	Yersinia frederiksenii
yin	Yersinia intermedia
ykr	Yersinia kristensenii
yro	Yersinia rohdei
yru	Yersinia ruckeri YRB
yrb	Yersinia ruckeri Big Creek 74
yak	Yersinia aleksiciae
sfl	Shigella flexneri 301 (serotype 2a)
sfx	Shigella flexneri 2457T (serotype 2a)
sfv	Shigella flexneri 8401 (serotype 5b)
sfe	Shigella flexneri 2002017 (serotype Fxv)
sfn	Shigella flexneri 2003036
sfs	Shigella flexneri Shi06HN006 (serotype Yv)
sft	Shigella flexneri NCTC1
ssn	Shigella sonnei Ss046
ssj	Shigella sonnei 53G
sbo	Shigella boydii Sb227
sbc	Shigella boydii CDC 3083-94
sdy	Shigella dysenteriae Sd197
sdz	Shigella dysenteriae 1617
eca	Pectobacterium atrosepticum SCRI1043
patr	Pectobacterium atrosepticum JG10-08
pato	Pectobacterium atrosepticum 21A
pct	Pectobacterium carotovorum subsp. carotovorum PC1
pcc	Pectobacterium carotovorum subsp. carotovorum PCC21
pcv	Pectobacterium carotovorum subsp. odoriferum
pwa	Pectobacterium wasabiae
pec	Pectobacterium sp. SCC3193
eta	Erwinia tasmaniensis
epy	Erwinia pyrifoliae Ep1/96
epr	Erwinia pyrifoliae DSM 12163
eam	Erwinia amylovora CFBP1430
eay	Erwinia amylovora ATCC 49946
ebi	Erwinia billingiae
erj	Erwinia sp. Ejp617
plu	Photorhabdus luminescens
pay	Photorhabdus asymbiotica
ptt	Photorhabdus temperata
buc	Buchnera aphidicola APS (Acyrthosiphon pisum)
bap	Buchnera aphidicola 5A (Acyrthosiphon pisum)
bau	Buchnera aphidicola Tuc7 (Acyrthosiphon pisum)
baw	Buchnera aphidicola JF98 (Acyrthosiphon pisum)
bajc	Buchnera aphidicola JF99 (Acyrthosiphon pisum)
bua	Buchnera aphidicola LL01 (Acyrthosiphon pisum)
bup	Buchnera aphidicola TLW03 (Acyrthosiphon pisum)
bak	Buchnera aphidicola Ak (Acyrthosiphon kondoi)
buh	Buchnera aphidicola Ua (Uroleucon ambrosiae)
bapf	Buchnera aphidicola F009 (Myzus persicae)
bapg	Buchnera aphidicola G002 (Myzus persicae)
bapu	Buchnera aphidicola USDA (Myzus persicae)
bapw	Buchnera aphidicola W106 (Myzus persicae)
bas	Buchnera aphidicola Sg (Schizaphis graminum)
bab	Buchnera aphidicola Bp (Baizongia pistaciae)
bcc	Buchnera aphidicola BCc
baj	Buchnera aphidicola (Cinara tujafilina)
wbr	Wigglesworthia glossinidia brevipalpis (Glossina brevipalpis)
wgl	Wigglesworthia glossinidia morsitans (Glossina morsitans)
sgl	Sodalis glossinidius (Glossina spp.)
sod	Sodalis sp. HS1
pes	Candidatus Sodalis pierantonius
ent	Enterobacter sp. 638
enc	Enterobacter cloacae subsp. cloacae ATCC 13047
eno	Enterobacter cloacae subsp. cloacae ENHKU01
eclo	Enterobacter cloacae subsp. cloacae NCTC 9394
eec	Enterobacter cloacae EcWSU1
enl	Enterobacter cloacae subsp. dissolvens SDM
ecla	Enterobacter cloacae ECNIH3
eclc	Enterobacter cloacae ECR091
eclg	Enterobacter cloacae GGT036
ecle	Enterobacter cloacae ECNIH2
ecln	Enterobacter cloacae ECNIH4
ecli	Enterobacter cloacae ECNIH5
eclx	Enterobacter cloacae 34399
ecly	Enterobacter cloacae 34977
eclz	Enterobacter cloacae 34983
esc	Enterobacter lignolyticus
eas	Enterobacter asburiae LF7a
eau	Enterobacter asburiae L1
eae	Enterobacter aerogenes KCTC 2190
ear	Enterobacter aerogenes EA1509E
enr	Enterobacter sp. R4-368
enx	Enterobacter sp. E20
esa	Cronobacter sakazakii ATCC BAA-894
csk	Cronobacter sakazakii ES15
csz	Cronobacter sakazakii Sp291
csi	Cronobacter sakazakii CMCC 45402
csj	Cronobacter sakazakii ATCC 29544
ccon	Cronobacter condimenti
cdm	Cronobacter dublinensis
cmj	Cronobacter malonaticus
cui	Cronobacter universalis
cmw	Cronobacter muytjensii
ctu	Cronobacter turicensis
kpn	Klebsiella pneumoniae subsp. pneumoniae MGH 78578
kpu	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044
kpm	Klebsiella pneumoniae subsp. pneumoniae HS11286
kpp	Klebsiella pneumoniae subsp. pneumoniae 1084
kpk	Klebsiella pneumoniae subsp. pneumoniae KP5-1
kph	Klebsiella pneumoniae subsp. pneumoniae KPNIH24
kpz	Klebsiella pneumoniae subsp. pneumoniae KPNIH27
kpv	Klebsiella pneumoniae subsp. pneumoniae KPNIH29
kpw	Klebsiella pneumoniae subsp. pneumoniae KPNIH30
kpy	Klebsiella pneumoniae subsp. pneumoniae KPNIH31
kpg	Klebsiella pneumoniae subsp. pneumoniae KPNIH32
kpc	Klebsiella pneumoniae subsp. pneumoniae KPNIH10
kpq	Klebsiella pneumoniae subsp. pneumoniae KPR0928
kpt	Klebsiella pneumoniae subsp. pneumoniae ATCC 43816 KPPR1
kpe	Klebsiella pneumoniae 342
kpo	Klebsiella pneumoniae KCTC 2242
kpr	Klebsiella pneumoniae subsp. rhinoscleromatis SB3432
kpj	Klebsiella pneumoniae JM45
kpi	Klebsiella pneumoniae CG43
kpa	Klebsiella pneumoniae 30660/NJST258_1
kps	Klebsiella pneumoniae 30684/NJST258_2
kpx	Klebsiella pneumoniae PMK1
kpb	Klebsiella pneumoniae blaNDM-1
kpne	Klebsiella pneumoniae 32192
kpnu	Klebsiella pneumoniae 34618
kva	Klebsiella variicola At-22
kvd	Klebsiella variicola DX120E
kvq	Klebsiella variicola DSM 15968
kox	Klebsiella oxytoca KCTC 1686
koe	Klebsiella oxytoca E718
koy	Klebsiella oxytoca HKOPL1
kok	Klebsiella oxytoca KONIH1
kom	Klebsiella oxytoca M1
kmi	Klebsiella michiganensis
cko	Citrobacter koseri
cro	Citrobacter rodentium
cfd	Citrobacter freundii
cama	Citrobacter amalonaticus
spe	Serratia proteamaculans
srr	Serratia plymuthica AS9
srl	Serratia plymuthica 4Rx13
sry	Serratia plymuthica S13
srs	Serratia sp. AS12
sra	Serratia sp. AS13
ssz	Serratia symbiotica
smaf	Serratia marcescens FGI94
smw	Serratia marcescens WW4
smar	Serratia marcescens SM39
smac	Serratia marcescens subsp. marcescens Db11
slq	Serratia liquefaciens
serr	Serratia sp. ATCC 39006
serf	Serratia sp. FS14
sers	Serratia sp. SCBI
sfw	Serratia fonticola
sfo	Chania multitudinisentens
pmr	Proteus mirabilis HI4320
pmib	Proteus mirabilis BB2000
pvl	Proteus vulgaris
eic	Edwardsiella ictaluri
etr	Edwardsiella tarda EIB202
etd	Edwardsiella tarda FL6-60
ete	Edwardsiella tarda 080813
etc	Edwardsiella piscicida C07-087
edw	Edwardsiella sp. EA181011
edl	Edwardsiella sp. LADL05-105
bfl	Candidatus Blochmannia floridanus (Camponotus floridanus)
bpn	Candidatus Blochmannia pennsylvanicus (Camponotus pennsylvanicus)
bva	Candidatus Blochmannia vafer (Camponotus vafer)
bchr	Candidatus Blochmannia chromaiodes (Camponotus chromaiodes)
ben	Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus 757
bed	Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri 675
hde	Candidatus Hamiltonella defensa (Acyrthosiphon pisum)
sect	Secondary endosymbiont of Ctenarytaina eucalypti
sehc	Secondary endosymbiont of Heteropsylla cubana
dda	Dickeya dadantii Ech703
ddc	Dickeya dadantii Ech586
ddd	Dickeya dadantii 3937
dze	Dickeya zeae Ech1591
dzc	Dickeya zeae EC1
xbo	Xenorhabdus bovienii SS-2004
xbv	Xenorhabdus bovienii CS03
xne	Xenorhabdus nematophila ATCC 19061
xnm	Xenorhabdus nematophila AN6/1
xdo	Xenorhabdus doucetiae
xpo	Xenorhabdus poinarii
pam	Pantoea ananatis LMG 20103
plf	Pantoea ananatis LMG 5342
paj	Pantoea ananatis AJ13355
paq	Pantoea ananatis PA13
pva	Pantoea vagans
pao	Pantoea sp. At-9b
kln	Pantoea rwandensis
pant	Pantoea sp. PSNIH1
panp	Pantoea sp. PSNIH2
hhs	Candidatus Pantoea carbekii
pck	Candidatus Pantoea carbekii US
rip	Candidatus Riesia pediculicola
rah	Rahnella sp. Y9602
raq	Rahnella aquatilis CIP 78.65 = ATCC 33071
raa	Rahnella aquatilis HX2
men	Candidatus Moranella endobia PCIT
meo	Candidatus Moranella endobia PCVAL
psi	Providencia stuartii MRSN 2154
psx	Providencia stuartii ATCC 33672
ebt	Shimwellia blattae
mmk	Morganella morganii
ror	Raoultella ornithinolytica B6
ron	Raoultella ornithinolytica S12
cnt	Cedecea neteri
cem	Cedecea sp. M006
cen	Cedecea sp. ND14a
ced	Cedecea sp. ND14b
pge	Pluralibacter gergoviae
hav	Hafnia alvei
ksa	Kosakonia sacchari
